group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PitR	A0A081BVZ9	unreviewed	Phosphate transport regulator	1499967	Vecturithrix	granuli	NA	216
PitR	A0A081FXV9	unreviewed	Phosphate transport regulator protein	1232683	Marinobacterium	lacunae	NA	225
PitR	A0A081K7C4	unreviewed	Phosphate transport regulator	305900	Endozoicomonas	elysicola	NA	226
PitR	A0A084DEG8	unreviewed	Phosphate transport regulator	1506588	Burkholderia	sp.	MSh2	208
PitR	A0A084IJ49	unreviewed	Phosphate transport regulator-like protein	1304275	Salinisphaera	hydrothermalis	(strain C41B8)	250
PitR	A0A085FQZ8	unreviewed	Nuclease PIN	1502851	Bosea	sp.	LC85	214
PitR	A0A086ZVF8	unreviewed	Phosphate transport regulator	1437608	Bifidobacterium	biavatii	DSM 23969	207
PitR	A0A088E5S5	unreviewed	Phosphate transport regulator	43687	Metallosphaera	sedula	NA	219
PitR	A0A089ZGX3	unreviewed	TIGR00153 family protein	2162	Methanobacterium	formicicum	NA	218
PitR	A0A090CYR1	unreviewed	Putative phosphate transport regulator	1437425	Criblamydia	sequanensis	CRIB-18	213
PitR	A0A090DTN2	unreviewed	DUF47 family protein	408180	Mesorhizobium	sp.	ORS 3324	648
PitR	A0A094L1I1	unreviewed	Phosphate transport regulator	1517416	Pseudidiomarina	atlantica	NA	226
PitR	A0A095SGN6	unreviewed	Phosphate transport regulator	1177154	Alcanivorax	nanhaiticus	NA	226
PitR	A0A095VUQ3	unreviewed	Phosphate transport regulator (Distant similar to PhoU)	1265313	Pseudohaliea	rubra	DSM 19751	226
PitR	A0A095ZAT0	unreviewed	Phosphate transport regulator	1219585	Arcanobacterium	sp.	S3PF19	205
PitR	A0A096A907	unreviewed	Phosphate transport regulator	1401068	Prevotella	bivia	DNF00320	215
PitR	A0A096KR78	unreviewed	TIGR00153 family protein	742722	Collinsella	sp.	4_8_47FAA	207
PitR	A0A097QRT1	unreviewed	TIGR00153 family protein	1505907	Thermococcus	eurythermalis	NA	215
PitR	A0A098B4L7	unreviewed	Phosphate transport regulator	49338	Desulfitobacterium	hafniense	NA	208
PitR	A0A098E5Z4	unreviewed	Phosphate transport regulator	717931	groundwater	metagenome	NA	211
PitR	A0A098EML1	unreviewed	Putative pit accessory protein	1499687	Planococcus	massiliensis	NA	205
PitR	A0A099KR93	unreviewed	Phosphate transport regulator	1535422	Thalassotalea	sp.	ND16A	225
PitR	A0A099KTS9	unreviewed	TIGR00153 family protein	28229	Colwellia	psychrerythraea	NA	226
PitR	A0A099S187	unreviewed	Phosphate transport regulator	1487921	Clostridium	sp.	HMP27	207
PitR	A0A0A0JFC4	unreviewed	Phosphate transport regulator	1385520	Knoellia	sinensis	KCTC 19936	208
PitR	A0A0A1MBJ8	unreviewed	Putative pit accessory protein	545501	Oceanobacillus	oncorhynchi	NA	205
PitR	A0A0A1PRE2	unreviewed	Putative pit accessory protein	1522316	bacterium	YEK0313	NA	214
PitR	A0A0A1W378	unreviewed	Pit accessory protein	1219049	Sphingomonas	parapaucimobilis	NBRC 15100	214
PitR	A0A0A2F0L4	unreviewed	Phosphate transport regulator	1517682	Porphyromonadaceae	bacterium	COT-184 OH4590	211
PitR	A0A0A2HR09	unreviewed	Phosphate transport regulator	1536652	Desulfobulbus	sp.	Tol-SR	228
PitR	A0A0A2TJD4	unreviewed	PhoU family transcriptional regulator	1536651	Desulfosporosinus	sp.	Tol-M	207
PitR	A0A0A3HZJ1	unreviewed	Phosphate transport regulator	1384049	Ureibacillus	manganicus	DSM 26584	206
PitR	A0A0A7GJ44	unreviewed	Phosphate transport regulator	565033	Geoglobus	acetivorans	NA	226
PitR	A0A0A8B591	unreviewed	Phosphate transport regulator	1531429	Berryella	intestinalis	NA	209
PitR	A0A0B1TZJ0	unreviewed	Phosphate transport regulator	1562888	Desulfovibrio	sp.	TomC	211
PitR	A0A0B2AME2	unreviewed	Nuclease PIN	1338436	Sinomonas	humi	NA	205
PitR	A0A0B2BP21	unreviewed	Phosphate transport regulator	1348852	Mumia	flava	NA	205
PitR	A0A0B3AL02	unreviewed	Phosphate transport regulator	1579371	Archaeon	GW2011_AR11	NA	212
PitR	A0A0B5KHI5	unreviewed	Phosphate transport regulator	126738	Thermotoga	sp.	RQ7	213
PitR	A0A0B8PIM6	unreviewed	Phosphate transport regulator	1481914	Vibrio	ishigakensis	NA	156
PitR	A0A0C1E855	unreviewed	UPF0111 protein YkaA	83552	Parachlamydia	acanthamoebae	NA	207
PitR	A0A0C1JZH2	unreviewed	UPF0111 protein	1478175	Neochlamydia	sp.	EPS4	226
PitR	A0A0C2U8X0	unreviewed	Phosphate transport regulator	272627	Paramagnetospirillum	magnetotacticum	MS-1	213
PitR	A0A0C3ML08	unreviewed	DUF47 domain-containing protein	1547597	Sanguibacteroides	justesenii	NA	216
PitR	A0A0C3MSB5	unreviewed	Phosphate transport regulator	1572758	Thauera	sp.	SWB20	642
PitR	A0A0C5C5E4	unreviewed	Phosphate transport regulator	1398	Heyndrickxia	coagulans	NA	206
PitR	A0A0C7NTQ2	unreviewed	Phosphate transport regulator	1006576	Defluviitoga	tunisiensis	NA	217
PitR	A0A0D0GBR0	unreviewed	Pit accessory protein	1503925	Pedobacter	lusitanus	NA	215
PitR	A0A0D1XCB0	unreviewed	Phosphate transport regulator	47500	Aneurinibacillus	migulanus	NA	206
PitR	A0A0D5ZDY9	unreviewed	DUF47 family protein	115547	Uncultured	archaeon	NA	188
PitR	A0A0D6QPG4	unreviewed	Putative pit accessory protein	1300915	Anaeromyxobacter	sp.	PSR-1	211
PitR	A0A0D7KT05	unreviewed	Phosphate transport regulator	1458845	Paenibacillus	sp.	E194	203
PitR	A0A0D8DM42	unreviewed	Phosphate transport regulator	1293648	Acidiplasma	sp.	MBA-1	226
PitR	A0A0D8IZJ9	unreviewed	DUF47 family protein	1550024	Ruthenibacterium	lactatiformans	NA	207
PitR	A0A0E3KY02	unreviewed	Phosphate transport regulator	523844	Methanosarcina	thermophila	(strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1)	229
PitR	A0A0E3SQG4	unreviewed	Phosphate transport regulator	1434104	Methanococcoides	methylutens	MM1	229
PitR	A0A0E4GBS9	unreviewed	Putitive phosphate transport regulator	690567	Syntrophomonas	zehnderi	OL-4	210
PitR	A0A0E9MIG6	unreviewed	Phosphate transport regulator	1632857	Sulfuricella	sp.	T08	213
PitR	A0A0F0GU32	unreviewed	Phosphate transport regulator	68170	Lentzea	aerocolonigenes	NA	206
PitR	A0A0F2P5X5	unreviewed	Phosphate transport regulator	1629722	Gammaproteobacteria	bacterium	BRH_c0	224
PitR	A0A0F2R7E3	unreviewed	TIGR00153 family protein	1629708	Desulfatitalea	sp.	BRH_c12	222
PitR	A0A0F6TPD9	unreviewed	Phosphate transport regulator	914150	Kangiella	geojedonensis	NA	224
PitR	A0A0F6YK60	unreviewed	Phosphate transport regulator	927083	Sandaracinus	amylolyticus	NA	212
PitR	A0A0F7FIE9	unreviewed	DUF47 family protein	1550241	Infirmifilum	uzonense	NA	217
PitR	A0A0F7GDS3	unreviewed	Phosphate transport regulator	943347	Dehalogenimonas	sp.	WBC-2	208
PitR	A0A0F7M138	unreviewed	TIGR00153 family protein	1620392	Spongiibacter	sp.	IMCC21906	225
PitR	A0A0F8VNV2	unreviewed	DUF47 family protein	1538547	Lokiarchaeum	sp.	(strain GC14_75)	221
PitR	A0A0F8YPM8	unreviewed	PhoU domain-containing protein	412755	marine	sediment	metagenome	216
PitR	A0A0G0QGN3	unreviewed	Phosphate transport regulator	1618813	Parcubacteria	group	bacterium GW2011_GWA2_39_18	200
PitR	A0A0G2Z7N9	unreviewed	Phosphate transport regulator	1330330	Kosmotoga	pacifica	NA	214
PitR	A0A0G3G4Y0	unreviewed	Phosphate transport regulator	106634	Thioalkalivibrio	versutus	NA	226
PitR	A0A0H1R8X5	unreviewed	Nuclease PIN	1225564	Microvirga	vignae	NA	214
PitR	A0A0H2T398	unreviewed	TIGR00153 family protein	1428448	Marinitoga	sp.	1155	214
PitR	A0A0H3K7D8	unreviewed	Uncharacterized protein	426430	Staphylococcus	aureus	(strain Newman)	205
PitR	A0A0H5BIB1	unreviewed	Phosphate transport regulator	1079	Blastochloris	viridis	NA	214
PitR	A0A0H5DRT4	unreviewed	TIGR00153 family protein	483423	Estrella	lausannensis	NA	224
PitR	A0A0H5SDT1	unreviewed	Phosphate transport regulator	1564487	Herbinix	hemicellulosilytica	NA	208
PitR	A0A0J6WT89	unreviewed	Phosphate transport regulator	1122219	Megasphaera	cerevisiae	DSM 20462	208
PitR	A0A0J8GMT3	unreviewed	Phosphate transport regulator	1513271	Catenovulum	maritimum	NA	225
PitR	A0A0J9EXH7	unreviewed	PhoU family transcriptional regulator	1637645	Limnoraphis	robusta	CS-951	289
PitR	A0A0K0ILC1	unreviewed	Phosphate transport regulator	1637974	Bacilli	bacterium	VT-13-104	205
PitR	A0A0K0XXV7	unreviewed	Phosphate transport regulator	1579979	Wenzhouxiangella	marina	NA	226
PitR	A0A0K1F0Q6	unreviewed	Phosphate transport regulator	712411	Olsenella	sp.	oral taxon 807	210
PitR	A0A0K1FJ62	unreviewed	Phosphate transport regulator	712538	Selenomonas	sp.	oral taxon 478	208
PitR	A0A0K1JK92	unreviewed	DUF47 family protein	571913	Luteipulveratus	mongoliensis	NA	212
PitR	A0A0K8JAI6	unreviewed	Uncharacterized protein	1677858	Propionispora	sp.	2/2-37	209
PitR	A0A0K8NZV5	unreviewed	Phosphate transport regulator, Pho Udistant homolog	1547922	Piscinibacter	sakaiensis	NA	215
PitR	A0A0K8PAS2	unreviewed	Phosphate transport regulator	1678840	Flexilinea	flocculi	NA	207
PitR	A0A0L6JNW6	unreviewed	Putative phosphate transport regulator	398512	Pseudobacteroides	cellulosolvens	ATCC 35603 = DSM 2933	236
PitR	A0A0L6U2A6	unreviewed	PhoU family transcriptional regulator	52689	Acetobacterium	bakii	NA	206
PitR	A0A0L6W3F7	unreviewed	Putative phosphate transport regulator	281456	Thermincola	ferriacetica	NA	209
PitR	A0A0M0BUW6	unreviewed	DUF47 family protein	1685125	miscellaneous	Crenarchaeota	group-1 archaeon SG8-32-3	226
PitR	A0A0M0L9K2	unreviewed	Phosphate transport regulator	263475	Viridibacillus	arvi	NA	206
PitR	A0A0M2NIZ8	unreviewed	Phosphate transport regulator	270498	Christensenella	hongkongensis	NA	207
PitR	A0A0N0BSF5	unreviewed	Phosphate transport regulator	1765655	Halorubrum	tropicale	NA	238
PitR	A0A0N0JER2	unreviewed	Phosphate transport regulator	1523424	beta	proteobacterium	AAP65	215
PitR	A0A0N0K8S7	unreviewed	Nuclease PIN	1523418	alpha	proteobacterium	AAP38	217
PitR	A0A0P0N273	unreviewed	Phosphate transport regulator	1273541	Pyrodictium	delaneyi	NA	239
PitR	A0A0P6W604	unreviewed	Nuclease PIN	665126	Prosthecomicrobium	hirschii	NA	214
PitR	A0A0P6WM09	unreviewed	Phosphate transport regulator	229920	Leptolinea	tardivitalis	NA	208
PitR	A0A0P6XM63	unreviewed	Phosphate transport regulator	869279	Thermanaerothrix	daxensis	NA	209
PitR	A0A0P7E3B9	unreviewed	Phosphate transport regulator	1716176	Cobetia	sp.	UCD-24C	226
PitR	A0A0Q0GH04	unreviewed	Pit accessory protein	1723761	Shewanella	sp.	P1-14-1	222
PitR	A0A0Q0VDF5	unreviewed	Phosphate transport regulator related to PhoU	1735327	Methanolinea	sp.	SDB	218
PitR	A0A0Q0WA28	unreviewed	Phosphate transport regulator	1735325	Desulfuromonas	sp.	SDB	223
PitR	A0A0Q1ANY3	unreviewed	Phosphate transport regulator	1735324	Smithella	sp.	SDB	206
PitR	A0A0Q4B2Q8	unreviewed	DUF47 family protein	1713725	Methanomassiliicoccales	archaeon	RumEn M2	218
PitR	A0A0Q4UFM4	unreviewed	Nuclease PIN	1736242	Methylobacterium	sp.	Leaf86	218
PitR	A0A0Q7DN38	unreviewed	Nuclease PIN	1736442	Phenylobacterium	sp.	Root1277	214
PitR	A0A0Q7JRF4	unreviewed	Phosphate transport regulator	1736539	Angustibacter	sp.	Root456	206
PitR	A0A0Q9XW61	unreviewed	Phosphate transport regulator	217031	Lederbergia	galactosidilytica	NA	205
PitR	A0A0R1H5K0	unreviewed	Phosphate transport regulator	1423722	Amylolactobacillus	amylotrophicus	DSM 20534	207
PitR	A0A0R1S431	unreviewed	Phosphate transport regulator	1122152	Lactobacillus	psittaci	DSM 15354	207
PitR	A0A0R2U7I4	unreviewed	Phosphate transport regulator	1655626	SAR92	bacterium	BACL26 MAG-121220-bin70	226
PitR	A0A0R2VE47	unreviewed	Phosphate transport regulator	1655600	Sphingobacteriales	bacterium	BACL12 MAG-120813-bin55	215
PitR	A0A0S3QRD0	unreviewed	TIGR00153 family protein	1298851	Thermosulfidibacter	takaii	(strain DSM 17441 / JCM 13301 / NBRC 103674 / ABI70S6)	222
PitR	A0A0S6UGW6	unreviewed	Phosphate transport regulator	1325331	Moorella	thermoacetica	Y72	219
PitR	A0A0S7BCM4	unreviewed	Phosphate transport regulator	360412	Longilinea	arvoryzae	NA	208
PitR	A0A0S7XT39	unreviewed	TIGR00153 family protein	1703361	Syntrophobacter	sp.	DG_60	208
PitR	A0A0S7XXR7	unreviewed	Phosphate transport regulator	1703354	Coxiella	sp.	DG_40	212
PitR	A0A0S7Y3Z2	unreviewed	Phosphate transport regulator	1703775	candidate	division	WOR-1 bacterium DG_54_3	216
PitR	A0A0S7YHG0	unreviewed	Phosphate transport regulator	1703413	Planctomycetes	bacterium	DG_20	224
PitR	A0A0S7ZNF4	unreviewed	Phosphate transport regulator	1704237	Spirochaetes	bacterium	DG_61	234
PitR	A0A0S7ZUC6	unreviewed	Phosphate transport regulator	1703355	Gemmatimonas	sp.	SG8_17	219
PitR	A0A0S8AGK6	unreviewed	Phosphate transport regulator	1703400	Desulfobacterales	bacterium	SG8_35	223
PitR	A0A0S8AVN7	unreviewed	Phosphate transport regulator	1703390	Betaproteobacteria	bacterium	SG8_39	209
PitR	A0A0S8BMX0	unreviewed	Phosphate transport regulator	1703386	Anaerolineae	bacterium	SG8_19	209
PitR	A0A0S8BXG4	unreviewed	Phosphate transport regulator	1703407	Myxococcales	bacterium	SG8_38	215
PitR	A0A0S8CZM7	unreviewed	Phosphate transport regulator	1704023	Nitrospira	bacterium	SG8_3	216
PitR	A0A0S8DC67	unreviewed	Phosphate transport regulator	1704235	Chlamydiae	bacterium	SM23_39	224
PitR	A0A0S8E296	unreviewed	Phosphate transport regulator	1703776	Omnitrophica	WOR_2	bacterium SM23_29	222
PitR	A0A0S8EBK7	unreviewed	TIGR00153 family protein	1703409	Phycisphaerae	bacterium	SG8_4	224
PitR	A0A0S8HP02	unreviewed	Phosphate transport regulator	1703353	Bacteroides	sp.	SM23_62_1	215
PitR	A0A0T5ZGM2	unreviewed	Phosphate transport regulator	1640512	Thaumarchaeota	archaeon	CSP1-1	210
PitR	A0A0U1KZP0	unreviewed	Phosphate transport regulator (Distant homolog of PhoU)	2378	Sporomusa	ovata	NA	209
PitR	A0A0U2N959	unreviewed	Phosphate transport regulator	2285	Sulfolobus	acidocaldarius	NA	210
PitR	A0A0U2RPU9	unreviewed	Phosphate transport regulator	1526571	Lacimicrobium	alkaliphilum	NA	225
PitR	A0A0U3EU54	unreviewed	Phosphate transport regulator	1768242	Paucibacter	sp.	KCTC 42545	216
PitR	A0A0U5HUJ3	unreviewed	DUF47 family protein	1407499	Halobacterium	hubeiense	NA	236
PitR	A0A0U9HC98	unreviewed	DUF47 family protein	224999	Tepidanaerobacter	syntrophicus	NA	205
PitR	A0A0U9HP69	unreviewed	TIGR00153 family protein	86166	Thermodesulfovibrio	aggregans	NA	210
PitR	A0A0W8E2M4	unreviewed	Phosphate transport regulator	938273	hydrocarbon	metagenome	NA	211
PitR	A0A0X1KP68	unreviewed	PhoU family transcriptional regulator	1123384	Pseudothermotoga	hypogea	DSM 11164 = NBRC 106472	225
PitR	A0A0X3ALX3	unreviewed	Phosphate transport regulator	1586267	Apibacter	mensalis	NA	213
PitR	A0A0X3U6D6	unreviewed	Phosphate transport regulator	1685377	Microbulbifer	sp.	ZGT114	225
PitR	A0A100YV35	unreviewed	Phosphate transport regulator	1299998	Tractidigestivibacter	scatoligenes	NA	206
PitR	A0A101DJP8	unreviewed	Putative phosphate transport regulator	1635258	Desulfonauticus	sp.	38_4375	226
PitR	A0A101GU98	unreviewed	Phosphate transport regulator	1641375	Desulfotomaculum	sp.	46_80	206
PitR	A0A101H7J8	unreviewed	Putative phosphate transport regulator	1641382	Methanocalculus	sp.	52_23	209
PitR	A0A101I6Z2	unreviewed	TIGR00153 family protein	1635293	Thermotogales	bacterium	46_20	214
PitR	A0A101WJX8	unreviewed	Phosphate transport regulator	1734399	Clostridia	bacterium	BRH_c25	157
PitR	A0A101X872	unreviewed	Phosphate transport regulator	1714256	Caldivirga	sp.	MG_3	229
PitR	A0A110B1W4	unreviewed	Putative pit accessory protein	1550579	Mucilaginibacter	gotjawali	NA	209
PitR	A0A110B6Q1	unreviewed	Phosphate transport regulator	1052	Halorhodospira	halochloris	NA	224
PitR	A0A124IRB2	unreviewed	Phosphate transport regulator	1714253	Vulcanisaeta	sp.	JCHS_4	237
PitR	A0A126T5Y0	unreviewed	Phosphate transport regulator	1538553	Methylomonas	denitrificans	NA	213
PitR	A0A127M9V7	unreviewed	Phosphate transport regulator	1470434	Zhongshania	aliphaticivorans	NA	225
PitR	A0A128A1N0	unreviewed	Pit accessory protein	1078905	Nitrosotalea	devaniterrae	NA	210
PitR	A0A132MZ45	unreviewed	Phosphate transport regulator (Distant-like protein of PhoU)	1469144	Carbonactinospora	thermoautotrophica	NA	349
PitR	A0A133XQI5	unreviewed	TIGR00153 family protein	1393034	Atopobium	deltae	NA	206
PitR	A0A134C3D5	unreviewed	TIGR00153 family protein	1384081	Veillonella	sp.	DNF00869	224
PitR	A0A134CNZ9	unreviewed	TIGR00153 family protein	1588754	Veillonellaceae	bacterium	DNF00626	208
PitR	A0A135PCF8	unreviewed	TIGR00153 family protein	82135	Fannyhessea	vaginae	NA	210
PitR	A0A136N1I3	unreviewed	Putative phosphate transport regulator	1617420	Bacteroidetes	bacterium	OLB9	199
PitR	A0A136NJI2	unreviewed	Phosphate transport regulator	1617412	Chlorobi	bacterium	OLB5	205
PitR	A0A139CUM8	unreviewed	TIGR00153 family protein	1794908	Methanolobus	sp.	T82-4	230
PitR	A0A139D3D9	unreviewed	Phosphate transport regulator (Distant PhoU)	1794808	Halanaerobium	sp.	T82-1	218
PitR	A0A140D934	unreviewed	Uncharacterized protein	1716143	Pseudodesulfovibrio	indicus	NA	216
PitR	A0A140GVW6	unreviewed	Phosphate transport regulator	674703	Rhodoplanes	sp.	Z2-YC6860	222
PitR	A0A142XDN7	unreviewed	Putative pit accessory protein	1630693	Gemmata	sp.	SH-PL17	215
PitR	A0A143PMX5	unreviewed	Pit accessory protein	1855912	Luteitalea	pratensis	NA	206
PitR	A0A143XY75	unreviewed	Putative pit accessory protein	1780378	Clostridiales	bacterium	CHKCI001	207
PitR	A0A143YJY3	unreviewed	Putative phosphate transport regulator	640938	Trichococcus	ilyis	NA	210
PitR	A0A147JRR5	unreviewed	DUF47 family protein	1775754	Hadesarchaea	archaeon	DG-33	238
PitR	A0A147JX47	unreviewed	Phosphate transport regulator	1776334	Hadarchaeum	yellowstonense	NA	235
PitR	A0A150M1X1	unreviewed	DUF47 domain-containing protein	301148	Caldibacillus	debilis	NA	206
PitR	A0A150P691	unreviewed	Pit accessory protein	56	Sorangium	cellulosum	NA	210
PitR	A0A151BE04	unreviewed	Phosphate transport regulator	1779368	Bathyarchaeota	archaeon	(strain B24)	225
PitR	A0A151CF33	unreviewed	Phosphate transport regulator	1630136	Sulfurovum	riftiae	NA	208
PitR	A0A151E976	unreviewed	TIGR00153 family protein	1803815	Thermoplasmatales	archaeon	SM1-50	232
PitR	A0A154BRH8	unreviewed	Phosphate transport regulator	1794912	Anaerosporomusa	subterranea	NA	209
PitR	A0A157T465	unreviewed	Phosphate transport regulator	2287	Saccharolobus	solfataricus	NA	240
PitR	A0A160IK33	unreviewed	DUF47 domain-containing protein	1221500	Fictibacillus	phosphorivorans	NA	205
PitR	A0A160TRG5	unreviewed	Phosphate transport regulator (Distant homolog of PhoU)	652676	hydrothermal	vent	metagenome	222
PitR	A0A161LEV2	unreviewed	Phosphate transport regulator	681398	Paludibacter	jiangxiensis	NA	216
PitR	A0A165TR75	unreviewed	Phosphate transport regulator	1822214	Halioglobus	sp.	HI00S01	226
PitR	A0A172RWS0	unreviewed	Phosphate transport regulator (Distant homolog of PhoU)	79604	Denitrobacterium	detoxificans	NA	209
PitR	A0A172T256	unreviewed	PhoU family transcriptional regulator	93466	Fervidobacterium	pennivorans	NA	224
PitR	A0A172YDB6	unreviewed	Phosphate transport regulator	376489	Halotalea	alkalilenta	NA	226
PitR	A0A174HCD6	unreviewed	Phosphate transport regulator	154046	Hungatella	hathewayi	NA	207
PitR	A0A176QEY6	unreviewed	DUF47 family protein	262209	Janibacter	melonis	NA	207
PitR	A0A177HCI2	unreviewed	Pit accessory protein	1689867	Rhodobacteraceae	bacterium	SB2	217
PitR	A0A178MC20	unreviewed	Phosphate transport regulator	1437059	Magnetospirillum	moscoviense	NA	213
PitR	A0A179B211	unreviewed	Pit accessory protein	2741497	Peptidiphaga	gingivicola	NA	216
PitR	A0A179T3W6	unreviewed	DUF47 domain-containing protein	152268	Metabacillus	litoralis	NA	207
PitR	A0A180F317	unreviewed	Phosphate transport regulator	1633202	Bacteroidales	bacterium	Barb6XT	214
PitR	A0A191HV17	unreviewed	Phosphate transport regulator	243899	endosymbiont	'TC1'	of Trimyema compressum	208
PitR	A0A191TJ45	unreviewed	Phosphate transport regulator	1850526	Arachidicoccus	sp.	BS20	216
PitR	A0A191UDN4	unreviewed	Phosphate transport regulator	1743168	Polynucleobacter	wuianus	NA	215
PitR	A0A1A5HW98	unreviewed	Nuclease PIN	381	Rhizobium	loti	NA	223
PitR	A0A1A9NHU8	unreviewed	Phosphate transport regulator	1848039	Methylobacillus	sp.	MM3	213
PitR	A0A1B1YCK5	unreviewed	Phosphate transport regulator	1121336	Thermoclostridium	stercorarium	subsp. thermolacticum DSM 2910	207
PitR	A0A1B3WCP1	unreviewed	Phosphate transport regulator	39950	Dialister	pneumosintes	NA	208
PitR	A0A1B4XD02	unreviewed	Phosphate transport regulator	1620215	Sulfuricaulis	limicola	NA	213
PitR	A0A1B6BA01	unreviewed	Phosphate transport regulator	1048380	Fusibacter	sp.	3D3	216
PitR	A0A1B6Z785	unreviewed	DUF47 domain-containing protein	1849171	Sphingomonadales	bacterium	EhC05	257
PitR	A0A1B7X8S9	unreviewed	Phosphate transport regulator	1560234	Halodesulfovibrio	spirochaetisodalis	NA	225
PitR	A0A1C2Y1X1	unreviewed	Phosphate transport regulator	1843715	Dehalobacter	sp.	TeCB1	213
PitR	A0A1C4T2J0	unreviewed	Phosphate transport regulator	1839759	Streptomyces	sp.	DvalAA-14	223
PitR	A0A1C6VXB3	unreviewed	Phosphate transport regulator	47871	Micromonospora	peucetia	NA	217
PitR	A0A1D2LPW5	unreviewed	DUF47 domain-containing protein	2756	Brochothrix	thermosphacta	NA	206
PitR	A0A1D2SI34	unreviewed	Phosphate transport regulator	1660104	Lautropia	sp.	SCN 69-89	211
PitR	A0A1D3TNB2	unreviewed	Phosphate transport regulator (Distant homolog of PhoU)	1619234	Anaerobium	acetethylicum	NA	211
PitR	A0A1D8AWH5	unreviewed	Pit accessory protein	1838286	Lacunisphaera	limnophila	NA	211
PitR	A0A1D8JD15	unreviewed	Phosphate transport regulator	298596	Sporosarcina	ureilytica	NA	206
PitR	A0A1D9MIU9	unreviewed	Phosphate transport regulator	1912795	Boudabousia	tangfeifanii	NA	206
PitR	A0A1E2V5S5	unreviewed	TIGR00153 family protein	197479	Terasakiispira	papahanaumokuakeensis	NA	226
PitR	A0A1E3AVA4	unreviewed	Putative pit accessory protein	1432052	Eisenbergiella	tayi	NA	207
