group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PitR	A0A535R5Z7	unreviewed	DUF47 domain-containing protein	2026724	Chloroflexota	bacterium	NA	277
PitR	A0A2D2AYI3	unreviewed	Nuclease PIN	69666	Caulobacter	mirabilis	NA	214
PitR	A0A842R3S3	unreviewed	DUF47 family protein	2026714	Candidatus	Bathyarchaeota	archaeon	335
PitR	A0A7L6A464	unreviewed	DUF47 family protein	1917218	Dechloromonas	sp.	NA	221
PitR	A0A928EU71	unreviewed	DUF47 domain-containing protein	2485925	Oscillospiraceae	bacterium	NA	206
PitR	A0A2E1KMK7	unreviewed	TIGR00153 family protein	2026779	Planctomycetaceae	bacterium	NA	252
PitR	A0A098B4L7	unreviewed	Phosphate transport regulator	49338	Desulfitobacterium	hafniense	NA	208
PitR	A0A3M1PKR7	unreviewed	TIGR00153 family protein	2212469	Calditrichota	bacterium	NA	225
PitR	A0A1G0PKP1	unreviewed	Phosphate transport regulator	1798424	Ignavibacteria	bacterium	GWB2_35_6b	202
PitR	C4XHF9	unreviewed	Phosphate transport regulator	573370	Solidesulfovibrio	magneticus	(strain ATCC 700980 / DSM 13731 / RS-1)	350
PitR	E8R8H6	unreviewed	Putative phosphate transport regulator	765177	Desulfurococcus	mucosus	(strain ATCC 35584 / DSM 2162 / JCM 9187 / O7/1)	217
PitR	A0A0G1E8F6	unreviewed	Phosphate transport regulator	1618827	Parcubacteria	group	bacterium GW2011_GWA2_43_17	210
PitR	A0A842QG98	unreviewed	DUF47 family protein	2053489	Promethearchaeota	archaeon	NA	220
PitR	A0A133U5V8	unreviewed	DUF47 family protein	1698261	candidate	division	MSBL1 archaeon SCGC-AAA259D14	224
PitR	A0A497J8H2	unreviewed	TIGR00153 family protein	2250275	Candidatus	Hydrothermarchaeota	archaeon	135
PitR	A0A7K4IEC3	unreviewed	DUF47 family protein	2053491	Thorarchaeota	archaeon	(strain OWC)	219
PitR	A0A7X0U0R0	unreviewed	DUF47 family protein	46180	Nonomuraea	rubra	NA	252
PitR	A0A292YJD8	unreviewed	Phosphate transport regulator	1348429	Effusibacillus	lacus	NA	203
PitR	A0A930VQ36	unreviewed	Phosphate transport regulator	433664	Nocardioides	agariphilus	NA	217
PitR	A0A8J6TBL1	unreviewed	Pit accessory protein	2841697	Candidatus	Desulfaltia	bathyphila	216
PitR	A0A9D2RU89	unreviewed	DUF47 domain-containing protein	1879010	Bacillota	bacterium	NA	208
PitR	A0A9D7ELH6	unreviewed	DUF47 family protein	1869227	bacterium	NA	NA	251
PitR	A0AAU7V8A8	unreviewed	DUF47 family protein	3079930	Scrofimicrobium	sp.	R131	210
PitR	A0A662TGN0	unreviewed	DUF47 family protein	1906665	archaeon	NA	NA	235
PitR	A0A523YIZ8	unreviewed	DUF47 family protein	1906667	Methanomassiliicoccales	archaeon	NA	223
PitR	A0A1Y4GEG3	unreviewed	Phosphate transport regulator	1965591	Cloacibacillus	sp.	An23	207
PitR	A0A351AR57	unreviewed	DUF47 domain-containing protein	2049048	Rikenellaceae	bacterium	NA	219
PitR	A0A662UKQ1	unreviewed	Uncharacterized protein	2250277	Thermoprotei	archaeon	NA	149
PhoU	A0A143YAE7	unreviewed	Phosphate-specific transport system accessory protein PhoU	640938	Trichococcus	ilyis	NA	224
PhoU	A0A8T7EG00	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026724	Chloroflexota	bacterium	NA	243
PhoU	A0A960ZF40	unreviewed	Phosphate-specific transport system accessory protein PhoU	1869227	bacterium	NA	NA	221
PhoU	A0A923Y1P4	unreviewed	Phosphate-specific transport system accessory protein PhoU	1934400	Pseudorhodobacter	sp.	NA	238
PhoU	K1UQY3	unreviewed	PhoU domain-containing protein	408170	human	gut	metagenome	196
PhoU	A0A3D1VMJ5	unreviewed	PhoU domain-containing protein	1898207	Clostridiales	bacterium	NA	225
PhoU	A0A1D3TRS6	unreviewed	Phosphate-specific transport system accessory protein PhoU	1619234	Anaerobium	acetethylicum	NA	219
PhoU	A0A4R7I2R9	unreviewed	Phosphate-specific transport system accessory protein PhoU	467091	Ilumatobacter	fluminis	NA	240
PhoU	A0A7V3CQD7	unreviewed	Phosphate-specific transport system accessory protein PhoU	1883427	Actinomycetes	bacterium	NA	223
PhoU	A0A524D983	unreviewed	Phosphate-specific transport system accessory protein PhoU	2053489	Promethearchaeota	archaeon	NA	216
PhoU	A0A951Z3D8	unreviewed	PhoU domain-containing protein	2682144	Fimbriimonadaceae	bacterium	NA	237
PhoU	A0A7C5Z4P6	unreviewed	Phosphate-specific transport system accessory protein PhoU	55205	Caldicellulosiruptor	owensensis	NA	225
PhoU	A0A524FUA3	unreviewed	PhoU domain-containing protein	2053491	Thorarchaeota	archaeon	(strain OWC)	232
PhoU	A0A832SCC5	unreviewed	Phosphate-specific transport system accessory protein PhoU	90427	Methanoculleus	sp.	NA	217
PhoU	A0A3G6J420	unreviewed	PhoU domain-containing protein	1862358	Corynebacterium	choanae	NA	252
PhoU	A0A916F423	unreviewed	Phosphate-specific transport system accessory protein PhoU	260704	Olavius	algarvensis	Gamma 3 endosymbiont	236
PhoU	A0A5B9YBK5	unreviewed	Phosphate-specific transport system accessory protein PhoU	2497860	Cellulosilyticum	sp.	WCF-2	228
PhoU	A0A2R6DLG0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1919154	Halobacteriales	archaeon	QH_6_64_20	223
PhoU	A0A0K1F6F0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1658671	Arsenicicoccus	sp.	oral taxon 190	229
PhoU	A0A1V4MRQ1	unreviewed	Phosphate-specific transport system accessory protein PhoU	1775672	delta	proteobacterium	ML8_D	222
PhoU	A0A7W1SX83	unreviewed	PhoU domain-containing protein	2282142	Terriglobales	bacterium	NA	253
PhoU	A0A3D4Z4V2	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026735	Deltaproteobacteria	bacterium	NA	224
PhoU	A0AAE3HNT8	unreviewed	Phosphate-specific transport system accessory protein PhoU	398773	Methylohalomonas	lacus	NA	241
PhoU	G5JLI6	unreviewed	Phosphate-specific transport system accessory protein PhoU	911238	Staphylococcus	simiae	CCM 7213 = CCUG 51256	213
PhoU	A0A1V6C8G2	unreviewed	Phosphate-specific transport system accessory protein PhoU	1866923	bacterium	ADurb.Bin132	NA	230
PhoU	A0A255I401	unreviewed	Phosphate-specific transport system accessory protein PhoU	1763509	Lachnotalea	glycerini	NA	213
PhoU	A0A1I0EQH8	unreviewed	Phosphate-specific transport system accessory protein PhoU	392421	Natrinema	hispanicum	NA	239
PhoU	A0A2N1HSY7	unreviewed	Phosphate-specific transport system accessory protein PhoU	2057807	Glaciecola	sp.	33A	237
PhoU	A0A3C0QDZ2	unreviewed	PhoU domain-containing protein	2053624	Synergistaceae	bacterium	NA	274
PhoU	A0A497RQ18	unreviewed	Phosphate-specific transport system accessory protein PhoU	2250256	Altiarchaeales	archaeon	NA	217
PhoU	A0A525CQA3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1913989	Gammaproteobacteria	bacterium	NA	238
PhoU	A0A6B1GQ20	unreviewed	Phosphate-specific transport system accessory protein PhoU	2478486	Holophagales	bacterium	NA	229
PhoU	C8W498	unreviewed	Phosphate-specific transport system accessory protein PhoU	485916	Desulfofarcimen	acetoxidans	(strain ATCC 49208 / DSM 771 / KCTC 5769 / VKM B-1644 / 5575)	219
PhoU	A0A932W3H8	unreviewed	Phosphate-specific transport system accessory protein PhoU	1978231	Acidobacteriota	bacterium	NA	248
PhoU	A0A0R1YWP3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1423784	Lentilactobacillus	parabuchneri	DSM 5707 = NBRC 107865	220
PhoU	A0A6I2ZMU6	unreviewed	PhoU domain-containing protein	1883427	Actinomycetes	bacterium	NA	312
PhoU	A0A6B1BWS5	unreviewed	PhoU domain-containing protein	2080302	Acidimicrobiia	bacterium	NA	278
PhoU	A0A1Y5DKM9	unreviewed	PhoU domain-containing protein	1856277	Arcobacter	sp.	31_11_sub10_T18	222
PhoU	A0A966YFE0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2052181	Planctomycetia	bacterium	NA	220
PhoU	A0A960I5X3	unreviewed	Phosphate-specific transport system accessory protein PhoU	2201156	Acidimicrobiales	bacterium	NA	243
PhoU	A0A3R6PDN5	unreviewed	Phosphate-specific transport system accessory protein PhoU	2293012	Clostridium	sp.	AF34-13	211
PhoU	A0A1C5MJJ1	unreviewed	Phosphate-specific transport system accessory protein PhoU	165186	uncultured	Ruminococcus	sp.	213
PhoU	A0A838EE01	unreviewed	Phosphate-specific transport system accessory protein PhoU	2740540	Euzebyales	bacterium	NA	224
PhoU	A0A2N2FPG5	unreviewed	PhoU domain-containing protein	2013757	Deltaproteobacteria	bacterium	HGW-Deltaproteobacteria-7	308
PhoU	A0AA97F6A0	unreviewed	Phosphate-specific transport system accessory protein PhoU	3071408	Parasphingorhabdus	sp.	SCSIO 66989	235
PhoU	A0A1H9ZR90	unreviewed	Phosphate-specific transport system accessory protein PhoU	930131	Oceanobacillus	limi	NA	219
PhoU	A0A971U5K4	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026724	Chloroflexota	bacterium	NA	219
PhoU	A0A416EBD7	unreviewed	Phosphate-specific transport system accessory protein PhoU	2292046	Lachnotalea	sp.	AF33-28	221
PhoU	A0A7G1G5B6	unreviewed	Phosphate-specific transport system accessory protein PhoU	2108365	Tepiditoga	spiralis	NA	220
PhoU	A0A2W4R9N8	unreviewed	PhoU domain-containing protein	2202197	Candidatus	Methylumidiphilus	alinenensis	239
PhoU	A0A7J3WW11	unreviewed	PhoU domain-containing protein	2268198	Nitrososphaeria	archaeon	NA	318
PhoU	A0A1H7WWD5	unreviewed	Phosphate-specific transport system accessory protein PhoU	43775	Syntrophus	gentianae	NA	232
PhoU	A0A6L5X4P8	unreviewed	Phosphate-specific transport system accessory protein PhoU	2606632	Porcincola	intestinalis	NA	231
PhoU	A0A1M4ZHN6	unreviewed	Phosphate-specific transport system accessory protein PhoU	996115	Ruegeria	intermedia	NA	242
PhoU	A0A6I2UAW0	unreviewed	Phosphate-specific transport system accessory protein PhoU	2652309	Anaerovibrio	slackiae	NA	215
PhoU	A0A942S0P5	unreviewed	PhoU domain-containing protein	418	Methylomonas	sp.	NA	239
PhoU	A0A132GVG2	unreviewed	PhoU domain-containing protein	1768112	bacterium	P201	NA	352
PhoU	A0A957J8Z1	unreviewed	Phosphate-specific transport system accessory protein PhoU	2073117	Anaerolineales	bacterium	NA	243
PhoU	A0A7W1RSB1	unreviewed	Phosphate-specific transport system accessory protein PhoU	2732252	Thermoleophilaceae	bacterium	NA	247
PhoU	A0A4Q2WZ12	unreviewed	Phosphate-specific transport system accessory protein PhoU	1926873	Lysobacteraceae	bacterium	NA	234
PhoU	A0A937MAM3	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026786	Rhodospirillales	bacterium	NA	244
PhoU	A0A7K4HL21	unreviewed	Phosphate-specific transport system accessory protein PhoU	81417	Methanofollis	tationis	NA	216
PhoU	A0A2D7FIT2	unreviewed	Phosphate-specific transport system accessory protein PhoU	2024831	Filomicrobium	sp.	NA	237
PhoU	A0A832ZVJ7	unreviewed	PhoU domain-containing protein	311458	Caldiarchaeum	subterraneum	NA	197
PhoU	A0A354F4N9	unreviewed	PhoU domain-containing protein	2026770	Nitrospiraceae	bacterium	NA	343
PhoU	A0A9X4EF13	unreviewed	Phosphate-specific transport system accessory protein PhoU	2813037	Parvibaculaceae	bacterium	NA	236
PhoU	A0A554SPB6	unreviewed	Phosphate-specific transport system accessory protein PhoU	2590901	Aeromicrobium	piscarium	NA	216
PhoU	A0A4R2JAK5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1213861	Actinocrispum	wychmicini	NA	217
PhoU	A0A0H5CJG1	unreviewed	Phosphate-specific transport system accessory protein PhoU	1653480	Alloactinosynnema	sp.	L-07	225
PhoU	A0A953N8D7	unreviewed	Phosphate-specific transport system accessory protein PhoU	324606	Zwartia	hollandica	NA	234
PhoU	A0A960KKI9	unreviewed	Phosphate-specific transport system accessory protein PhoU	1978231	Acidobacteriota	bacterium	NA	222
PhoU	A0A839HIE6	unreviewed	Phosphate-specific transport system accessory protein PhoU	1653858	Thiospirillum	jenense	NA	252
PhoU	A0A2K8KRM6	unreviewed	Phosphate-specific transport system accessory protein PhoU	1336806	Reinekea	forsetii	NA	239
PhoU	A0A1H1KMW5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1884352	Rhizobiales	bacterium	GAS113	237
PhoU	A0A164P7Q3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1813677	Rhodococcus	sp.	EPR-157	223
PhoU	A0A1H6C6T8	unreviewed	Phosphate-specific transport system accessory protein PhoU	1502751	Paenibacillus	sp.	UNC499MF	219
PhoU	A0A933J986	unreviewed	Phosphate-specific transport system accessory protein PhoU	2030800	Elusimicrobiota	bacterium	NA	223
PhoU	A0A7C9GD51	unreviewed	Phosphate-specific transport system accessory protein PhoU	1913988	Alphaproteobacteria	bacterium	NA	246
PhoU	A0A951MQP8	unreviewed	PhoU domain-containing protein	2900548	Actinomycetota	bacterium	NA	235
PhoU	A0A3N1LK78	unreviewed	Phosphate-specific transport system accessory protein PhoU	94	Stella	humosa	NA	246
PhoU	A0A2D5AK32	unreviewed	PhoU domain-containing protein	2026801	Verrucomicrobiales	bacterium	NA	271
PhoU	A0A1M6KTH2	unreviewed	Phosphate-specific transport system accessory protein PhoU	1121301	Paramaledivibacter	caminithermalis	(strain DSM 15212 / CIP 107654 / DViRD3)	217
PhoU	A0A2A5FM88	unreviewed	Phosphate-specific transport system accessory protein PhoU	1898104	Bacteroidota	bacterium	NA	220
PhoU	A0A933Y0D1	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026780	Planctomycetota	bacterium	NA	232
PhoU	A0A0R0BKY5	unreviewed	Phosphate-specific transport system accessory protein PhoU	266128	Stenotrophomonas	koreensis	NA	237
PhoU	A0A967NB61	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026742	Gemmatimonadota	bacterium	NA	242
PhoU	A0A962U460	unreviewed	Phosphate-specific transport system accessory protein PhoU	1913989	Gammaproteobacteria	bacterium	NA	243
PhoU	A0A2S0MQ75	unreviewed	Phosphate-specific transport system accessory protein PhoU	2605946	Pukyongiella	litopenaei	NA	239
PhoU	A0A7V6ARC2	unreviewed	PhoU domain-containing protein	2053527	Candidatus	Zixiibacteriota	bacterium	233
PhoU	A0A1C0BT99	unreviewed	Phosphate-specific transport system accessory protein PhoU	1768196	Erysipelotrichaceae	bacterium	MTC7	216
PhoU	A0A969HAI1	unreviewed	Phosphate-specific transport system accessory protein PhoU	2073117	Anaerolineales	bacterium	NA	227
PhoU	A0A832K1C7	unreviewed	PhoU domain-containing protein	2052186	Limisphaerales	bacterium	NA	235
PhoU	A0A1E7Q3N0	unreviewed	Phosphate-specific transport system accessory protein PhoU	1628148	Rheinheimera	salexigens	NA	241
PhoU	A0A098F132	unreviewed	Phosphate-specific transport system accessory protein PhoU	1476857	Bacillus	sp.	B-jedd	229
PhoU	A0A952S771	unreviewed	Phosphate-specific transport system accessory protein PhoU	1978231	Acidobacteriota	bacterium	NA	249
PhoU	A0A0S7WJS1	unreviewed	PhoU domain-containing protein	1703771	candidate	division	TA06 bacterium DG_26	194
PhoU	A0A1V5VDT8	unreviewed	Phosphate-specific transport system accessory protein PhoU	1866925	bacterium	ADurb.Bin236	NA	225
PhoU	A0A1M4SH06	unreviewed	Phosphate-specific transport system accessory protein PhoU	1121025	Atopostipes	suicloacalis	DSM 15692	220
PhoU	A0A1W9MFV5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1934250	Desulfobulbaceae	bacterium	A2	224
PhoU	A0A2W6E6E7	unreviewed	Phosphate-specific transport system accessory protein PhoU	2201155	Pseudonocardiales	bacterium	NA	248
PhoU	A0A7I7WMD8	unreviewed	Phosphate-specific transport system accessory protein PhoU	1794	Mycolicibacterium	gadium	NA	227
PhoU	A0A7Y1YV52	unreviewed	Phosphate-specific transport system accessory protein PhoU	2006849	Lysobacterales	bacterium	NA	241
PhoU	A0A1E7HS54	unreviewed	Phosphate-specific transport system accessory protein PhoU	1869300	Desulfobacterales	bacterium	S5133MH16	218
PhoU	A0A1F9WQS8	unreviewed	Phosphate-specific transport system accessory protein PhoU	1797960	Elusimicrobia	bacterium	RIFOXYA2_FULL_50_26	222
PhoU	A0A8J8AQJ1	unreviewed	Phosphate-specific transport system accessory protein PhoU	2819256	Proteocatella	sp.	NA	217
PhoU	A0A6M0GZJ2	unreviewed	Phosphate-specific transport system accessory protein PhoU	1465809	Clostridium	senegalense	NA	224
PhoU	A0A968S1H1	unreviewed	Phosphate-specific transport system accessory protein PhoU	2562117	Chloroflexaceae	bacterium	NA	229
PhoU	A0A8T4WWR8	unreviewed	Phosphate-specific transport system accessory protein PhoU	2806419	Thermoplasmatota	archaeon	NA	246
PhoU	A0A4R2RI29	unreviewed	Phosphate-specific transport system accessory protein PhoU	35700	Heliophilum	fasciatum	NA	219
PhoU	A0A096CVK8	unreviewed	Phosphate-specific transport system accessory protein PhoU	1156417	Caloranaerobacter	azorensis	H53214	216
PhoU	A0AAQ3F2T6	unreviewed	Phosphate-specific transport system accessory protein PhoU	1624	Ligilactobacillus	salivarius	NA	224
PhoU	A0A4R4A595	unreviewed	Phosphate-specific transport system accessory protein PhoU	1048	Marichromatium	gracile	NA	221
PhoU	A0A941EII9	unreviewed	Phosphate-specific transport system accessory protein PhoU	1508375	Actinospica	durhamensis	NA	212
PhoU	A0A450UA51	unreviewed	PhoU domain-containing protein	2126342	Candidatus	Kentron	sp. LFY	258
PhoU	A0A3D4MH71	unreviewed	Phosphate-specific transport system accessory protein PhoU	2053494	Acholeplasmatales	bacterium	NA	235
PhoU	A0A946VNJ4	unreviewed	Phosphate-specific transport system accessory protein PhoU	1913989	Gammaproteobacteria	bacterium	NA	235
PhoU	A0A523XL36	unreviewed	Phosphate-specific transport system accessory protein PhoU	2030808	Cloacimonadota	bacterium	NA	219
PhoU	A0A7C4MY16	unreviewed	Phosphate-specific transport system accessory protein PhoU	2044940	Desulfobacterales	bacterium	NA	231
PhoU	A0A1F6RIS2	unreviewed	PhoU domain-containing protein	1801607	Candidatus	Melainabacteria	bacterium RIFCSPHIGHO2_02_FULL_34_12	214
PhoU	A0A660XI88	unreviewed	PhoU domain-containing protein	2026760	Neomarinimicrobiota	bacterium	NA	223
PhoU	A0A140LD38	unreviewed	Phosphate-specific transport system accessory protein PhoU	520764	Fervidicola	ferrireducens	NA	220
PhoU	A0A1G8YG49	unreviewed	Phosphate-specific transport system accessory protein PhoU	890420	Halovenus	aranensis	NA	216
PhoU	A0A1Y4HDN3	unreviewed	Phosphate-specific transport system accessory protein PhoU	1965588	Anaerofilum	sp.	An201	220
PhoU	A0A1W9UJL5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1971628	Desulfobacteraceae	bacterium	4572_35.2	220
PhoU	A0A2K8UGW5	unreviewed	Phosphate-specific transport system accessory protein PhoU	1166950	Candidatus	Thiodictyon	syntrophicum	217
PhoU	A0A4Q8CYA4	unreviewed	Phosphate-specific transport system accessory protein PhoU	531306	Spiribacter	vilamensis	NA	240
PhoU	A0A356T8G2	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026763	Myxococcales	bacterium	NA	226
PhoU	A0A2W1B6F6	unreviewed	Phosphate-specific transport system accessory protein PhoU	2026724	Chloroflexota	bacterium	NA	220
