ID	NAME	X	Y
41	A0A088E5S5 PitR Metallosphaera sedula	0.80721974	0.4026696
42	A0A089ZGX3 PitR Methanobacterium formicicum	0.74630016	0.27158004
43	A0A090CYR1 PitR Criblamydia sequanensis	0.83009017	0.32269108
44	A0A090DTN2 PitR Mesorhizobium sp.	0.18364137	0.056477215
45	A0A094L1I1 PitR Pseudidiomarina atlantica	0.71031296	0.25204283
46	A0A095SGN6 PitR Alcanivorax nanhaiticus	0.7181264	0.25049102
47	A0A095VUQ3 PitR Pseudohaliea rubra	0.70285136	0.23957509
48	A0A095ZAT0 PitR Arcanobacterium sp.	0.8292824	0.3300518
49	A0A096A907 PitR Prevotella bivia	0.822403	0.3360555
50	A0A096KR78 PitR Collinsella sp.	0.83674514	0.31484118
51	A0A097QRT1 PitR Thermococcus eurythermalis	0.72833014	0.25806078
52	A0A098B4L7 PitR Desulfitobacterium hafniense	0.82192385	0.3300154
53	A0A098E5Z4 PitR groundwater metagenome	0.8449724	0.3355289
54	A0A098EML1 PitR Planococcus massiliensis	0.8496208	0.32027498
55	A0A099KR93 PitR Thalassotalea sp.	0.71601623	0.24878561
56	A0A099KTS9 PitR Colwellia psychrerythraea	0.71634287	0.25454253
57	A0A099S187 PitR Clostridium sp.	0.8399036	0.3138376
58	A0A0A0JFC4 PitR Knoellia sinensis	0.8346974	0.3361016
59	A0A0A1MBJ8 PitR Oceanobacillus oncorhynchi	0.8340202	0.31354088
60	A0A0A1PRE2 PitR bacterium YEK0313	0.8282743	0.33691004
61	A0A0A1W378 PitR Sphingomonas parapaucimobilis	0.8264913	0.34262645
62	A0A0A2F0L4 PitR Porphyromonadaceae bacterium	0.81967926	0.33176148
63	A0A0A2HR09 PitR Desulfobulbus sp.	0.7316874	0.2586994
64	A0A0A2TJD4 PitR Desulfosporosinus sp.	0.85653377	0.37372708
65	A0A0A3HZJ1 PitR Ureibacillus manganicus	0.84023064	0.31397298
66	A0A0A7GJ44 PitR Geoglobus acetivorans	0.7452887	0.25453407
67	A0A0A8B591 PitR Berryella intestinalis	0.8189954	0.31830844
68	A0A0B1TZJ0 PitR Desulfovibrio sp.	0.8504526	0.33653077
69	A0A0B2AME2 PitR Sinomonas humi	0.87469596	0.35024676
70	A0A0B2BP21 PitR Mumia flava	0.83826786	0.33398625
71	A0A0B3AL02 PitR Archaeon GW2011_AR11	0.8456928	0.3338007
72	A0A0B5KHI5 PitR Thermotoga sp.	0.75522786	0.26998627
73	A0A0B8PIM6 PitR Vibrio ishigakensis	0.7029544	0.24462149
74	A0A0C1E855 PitR Parachlamydia acanthamoebae	0.83107054	0.32143897
75	A0A0C1JZH2 PitR Neochlamydia sp.	0.7266692	0.24397108
76	A0A0C2U8X0 PitR Paramagnetospirillum magnetotacticum	0.8231697	0.33052346
77	A0A0C3ML08 PitR Sanguibacteroides justesenii	0.8224846	0.33765522
78	A0A0C3MSB5 PitR Thauera sp.	0.1715678	0.050025344
79	A0A0C5C5E4 PitR Heyndrickxia coagulans	0.8375713	0.3141414
80	A0A0C7NTQ2 PitR Defluviitoga tunisiensis	0.72909707	0.2524343
81	A0A0D0GBR0 PitR Pedobacter lusitanus	0.8357282	0.33253795
82	A0A0D1XCB0 PitR Aneurinibacillus migulanus	0.84068966	0.31785056
83	A0A0D5ZDY9 PitR Uncultured archaeon	0.67987525	0.47328672
84	A0A0D6QPG4 PitR Anaeromyxobacter sp.	0.8256415	0.32910377
85	A0A0D7KT05 PitR Paenibacillus sp.	0.8452884	0.32284337
86	A0A0D8DM42 PitR Acidiplasma sp.	0.6613321	0.48828354
87	A0A0D8IZJ9 PitR Ruthenibacterium lactatiformans	0.8262324	0.31351066
88	A0A0E3KY02 PitR Methanosarcina thermophila	0.7235049	0.25412828
89	A0A0E3SQG4 PitR Methanococcoides methylutens	0.73093355	0.2543675
90	A0A0E4GBS9 PitR Syntrophomonas zehnderi	0.834342	0.33785367
91	A0A0E9MIG6 PitR Sulfuricella sp.	0.84876496	0.36062336
92	A0A0F0GU32 PitR Lentzea aerocolonigenes	0.8327818	0.3326093
93	A0A0F2P5X5 PitR Gammaproteobacteria bacterium	0.7154482	0.25215927
94	A0A0F2R7E3 PitR Desulfatitalea sp.	0.71313477	0.23591217
95	A0A0F6TPD9 PitR Kangiella geojedonensis	0.7231127	0.2535065
96	A0A0F6YK60 PitR Sandaracinus amylolyticus	0.8386867	0.34057668
97	A0A0F7FIE9 PitR Infirmifilum uzonense	0.90236455	0.53866357
98	A0A0F7GDS3 PitR Dehalogenimonas sp.	0.8326385	0.32959312
99	A0A0F7M138 PitR Spongiibacter sp.	0.7217668	0.24766392
100	A0A0F8VNV2 PitR Lokiarchaeum sp.	0.36693949	0.057172064
101	A0A0F8YPM8 PitR marine sediment	0.7424128	0.2495114
102	A0A0G0QGN3 PitR Parcubacteria group	0.8411669	0.3459454
103	A0A0G2Z7N9 PitR Kosmotoga pacifica	0.7235513	0.25308937
104	A0A0G3G4Y0 PitR Thioalkalivibrio versutus	0.7133472	0.24342403
105	A0A0H1R8X5 PitR Microvirga vignae	0.81903374	0.33343658
106	A0A0H2T398 PitR Marinitoga sp.	0.74503565	0.26171932
107	A0A0H5BIB1 PitR Blastochloris viridis	0.8176219	0.3360547
108	A0A0H5DRT4 PitR Estrella lausannensis	0.73311937	0.24846783
109	A0A0H5SDT1 PitR Herbinix hemicellulosilytica	0.82152456	0.31369218
110	A0A0J6WT89 PitR Megasphaera cerevisiae	0.8559095	0.3316299
111	A0A0J8GMT3 PitR Catenovulum maritimum	0.7192374	0.25318158
112	A0A0J9EXH7 PitR Limnoraphis robusta	0.72066754	0.22384684
113	A0A0K0ILC1 PitR Bacilli bacterium	0.8311655	0.314081
114	A0A0K0XXV7 PitR Wenzhouxiangella marina	0.7193277	0.25018093
115	A0A0K1F0Q6 PitR Olsenella sp.	0.8554568	0.3214565
116	A0A0K1FJ62 PitR Selenomonas sp.	0.82511103	0.32399037
117	A0A0K1JK92 PitR Luteipulveratus mongoliensis	0.8555568	0.35504305
118	A0A0K8JAI6 PitR Propionispora sp.	0.8219994	0.32952994
119	A0A0K8NZV5 PitR Piscinibacter sakaiensis	0.8230441	0.32580402
120	A0A0K8PAS2 PitR Flexilinea flocculi	0.8253538	0.31030187
121	A0A0L6JNW6 PitR Pseudobacteroides cellulosolvens	0.8351794	0.32273582
122	A0A0L6U2A6 PitR Acetobacterium bakii	0.84674543	0.36868697
123	A0A0L6W3F7 PitR Thermincola ferriacetica	0.8364367	0.33674845
124	A0A0M0BUW6 PitR miscellaneous Crenarchaeota	0.7226556	0.3088137
125	A0A0M0L9K2 PitR Viridibacillus arvi	0.84277177	0.31373355
126	A0A0M2NIZ8 PitR Christensenella hongkongensis	0.8251231	0.31380895
127	A0A0N0BSF5 PitR Halorubrum tropicale	0.8182674	0.32773408
128	A0A0N0JER2 PitR beta proteobacterium	0.8206773	0.32675558
129	A0A0N0K8S7 PitR alpha proteobacterium	0.8101755	0.32525802
130	A0A0P0N273 PitR Pyrodictium delaneyi	0.7441846	0.39731762
131	A0A0P6W604 PitR Prosthecomicrobium hirschii	0.81914073	0.3324851
132	A0A0P6WM09 PitR Leptolinea tardivitalis	0.8302995	0.31867206
133	A0A0P6XM63 PitR Thermanaerothrix daxensis	0.8435638	0.34495696
134	A0A0P7E3B9 PitR Cobetia sp.	0.7189131	0.24816237
135	A0A0Q0GH04 PitR Shewanella sp.	0.7274477	0.22857232
136	A0A0Q0VDF5 PitR Methanolinea sp.	0.83842695	0.3683589
137	A0A0Q0WA28 PitR Desulfuromonas sp.	0.7062968	0.24151991
138	A0A0Q1ANY3 PitR Smithella sp.	0.8345355	0.3235741
139	A0A0Q4B2Q8 PitR Methanomassiliicoccales archaeon	0.6319334	0.28623745
140	A0A0Q4UFM4 PitR Methylobacterium sp.	0.82046044	0.33446804
141	A0A0Q7DN38 PitR Phenylobacterium sp.	0.8215092	0.33677056
142	A0A0Q7JRF4 PitR Angustibacter sp.	0.83271956	0.33370507
143	A0A0Q9XW61 PitR Lederbergia galactosidilytica	0.8429666	0.31733394
144	A0A0R1H5K0 PitR Amylolactobacillus amylotrophicus	0.81748605	0.32020774
145	A0A0R1S431 PitR Lactobacillus psittaci	0.8348571	0.31231323
146	A0A0R2U7I4 PitR SAR92 bacterium	0.71575725	0.2454933
147	A0A0R2VE47 PitR Sphingobacteriales bacterium	0.8239297	0.32707784
148	A0A0S3QRD0 PitR Thermosulfidibacter takaii	0.73139405	0.24880666
149	A0A0S6UGW6 PitR Moorella thermoacetica	0.85220903	0.34018224
150	A0A0S7BCM4 PitR Longilinea arvoryzae	0.8365494	0.32032835
151	A0A0S7XT39 PitR Syntrophobacter sp.	0.66913635	0.20790614
152	A0A0S7XXR7 PitR Coxiella sp.	0.8572652	0.32737985
153	A0A0S7Y3Z2 PitR candidate division	0.76648766	0.28708616
154	A0A0S7YHG0 PitR Planctomycetes bacterium	0.7402589	0.2572321
155	A0A0S7ZNF4 PitR Spirochaetes bacterium	0.70433795	0.24017036
156	A0A0S7ZUC6 PitR Gemmatimonas sp.	0.7314563	0.2313533
157	A0A0S8AGK6 PitR Desulfobacterales bacterium	0.7411072	0.2603375
158	A0A0S8AVN7 PitR Betaproteobacteria bacterium	0.8278809	0.321557
159	A0A0S8BMX0 PitR Anaerolineae bacterium	0.84469867	0.34592608
160	A0A0S8BXG4 PitR Myxococcales bacterium	0.7398887	0.26129338
161	A0A0S8CZM7 PitR Nitrospira bacterium	0.739357	0.25203392
162	A0A0S8DC67 PitR Chlamydiae bacterium	0.7230396	0.24087219
163	A0A0S8E296 PitR Omnitrophica WOR_2	0.7800852	0.2991529
164	A0A0S8EBK7 PitR Phycisphaerae bacterium	0.7204277	0.24413338
165	A0A0S8HP02 PitR Bacteroides sp.	0.82014334	0.3277969
166	A0A0T5ZGM2 PitR Thaumarchaeota archaeon	0.81614435	0.32788554
167	A0A0U1KZP0 PitR Sporomusa ovata	0.8437607	0.32801688
168	A0A0U2N959 PitR Sulfolobus acidocaldarius	0.7758209	0.35469145
169	A0A0U2RPU9 PitR Lacimicrobium alkaliphilum	0.72235173	0.2531522
170	A0A0U3EU54 PitR Paucibacter sp.	0.82069945	0.32327452
171	A0A0U5HUJ3 PitR Halobacterium hubeiense	0.8061351	0.3189521
172	A0A0U9HC98 PitR Tepidanaerobacter syntrophicus	0.83023536	0.31331173
173	A0A0U9HP69 PitR Thermodesulfovibrio aggregans	0.6701434	0.2042994
174	A0A0W8E2M4 PitR hydrocarbon metagenome	0.83020115	0.3365801
175	A0A0X1KP68 PitR Pseudothermotoga hypogea	0.71100926	0.24328254
176	A0A0X3ALX3 PitR Apibacter mensalis	0.8387342	0.32635236
177	A0A0X3U6D6 PitR Microbulbifer sp.	0.7177929	0.24964327
178	A0A100YV35 PitR Tractidigestivibacter scatoligenes	0.84752464	0.31565467
179	A0A101DJP8 PitR Desulfonauticus sp.	0.7033318	0.22586264
180	A0A101GU98 PitR Desulfotomaculum sp.	0.85561246	0.38189662
181	A0A101H7J8 PitR Methanocalculus sp.	0.846733	0.3301133
182	A0A101I6Z2 PitR Thermotogales bacterium	0.7270995	0.25281152
183	A0A101WJX8 PitR Clostridia bacterium	0.8321957	0.349701
184	A0A101X872 PitR Caldivirga sp.	0.69139606	0.44517472
185	A0A110B1W4 PitR Mucilaginibacter gotjawali	0.83949804	0.32046953
186	A0A110B6Q1 PitR Halorhodospira halochloris	0.71582896	0.24973123
187	A0A124IRB2 PitR Vulcanisaeta sp.	0.7129775	0.44756863
188	A0A126T5Y0 PitR Methylomonas denitrificans	0.8509701	0.35329804
189	A0A127M9V7 PitR Zhongshania aliphaticivorans	0.71912175	0.24773708
190	A0A128A1N0 PitR Nitrosotalea devaniterrae	0.8202292	0.33124548
191	A0A132MZ45 PitR Carbonactinospora thermoautotrophica	0.8408587	0.33079845
192	A0A133XQI5 PitR Atopobium deltae	0.85344225	0.32194415
193	A0A134C3D5 PitR Veillonella sp.	0.8342193	0.3238938
194	A0A134CNZ9 PitR Veillonellaceae bacterium	0.8469224	0.32555032
195	A0A135PCF8 PitR Fannyhessea vaginae	0.84597933	0.31611934
196	A0A136N1I3 PitR Bacteroidetes bacterium	0.84727097	0.32815462
197	A0A136NJI2 PitR Chlorobi bacterium	0.8467046	0.3301556
198	A0A139CUM8 PitR Methanolobus sp.	0.72792095	0.24592285
199	A0A139D3D9 PitR Halanaerobium sp.	0.73271346	0.24391022
200	A0A140D934 PitR Pseudodesulfovibrio indicus	0.7513515	0.2538499
201	A0A140GVW6 PitR Rhodoplanes sp.	0.8181958	0.33776414
202	A0A142XDN7 PitR Gemmata sp.	0.85160506	0.3273397
203	A0A143PMX5 PitR Luteitalea pratensis	0.8365744	0.32437965
204	A0A143XY75 PitR Clostridiales bacterium	0.81784195	0.31561348
205	A0A143YJY3 PitR Trichococcus ilyis	0.81380427	0.31753093
206	A0A147JRR5 PitR Hadesarchaea archaeon	0.71522903	0.25917438
207	A0A147JX47 PitR Hadarchaeum yellowstonense	0.73869014	0.24512418
208	A0A150M1X1 PitR Caldibacillus debilis	0.8390888	0.31700176
209	A0A150P691 PitR Sorangium cellulosum	0.834887	0.32524088
210	A0A151BE04 PitR Bathyarchaeota archaeon	0.71355206	0.29190987
211	A0A151CF33 PitR Sulfurovum riftiae	0.8724515	0.38521153
212	A0A151E976 PitR Thermoplasmatales archaeon	0.7183968	0.24087717
213	A0A154BRH8 PitR Anaerosporomusa subterranea	0.8261865	0.3265412
214	A0A157T465 PitR Saccharolobus solfataricus	0.7820147	0.37265447
215	A0A160IK33 PitR Fictibacillus phosphorivorans	0.84235924	0.31799707
216	A0A160TRG5 PitR hydrothermal vent	0.7295456	0.2575704
217	A0A161LEV2 PitR Paludibacter jiangxiensis	0.83436614	0.3360577
218	A0A165TR75 PitR Halioglobus sp.	0.7244904	0.255735
219	A0A172RWS0 PitR Denitrobacterium detoxificans	0.81481135	0.316458
220	A0A172T256 PitR Fervidobacterium pennivorans	0.71869123	0.24286726
221	A0A172YDB6 PitR Halotalea alkalilenta	0.7264994	0.24854235
222	A0A174HCD6 PitR Hungatella hathewayi	0.828792	0.31459025
223	A0A176QEY6 PitR Janibacter melonis	0.83887774	0.32908776
224	A0A177HCI2 PitR Rhodobacteraceae bacterium	0.7404818	0.25212973
225	A0A178MC20 PitR Magnetospirillum moscoviense	0.8455421	0.35600448
226	A0A179B211 PitR Peptidiphaga gingivicola	0.84248316	0.3301679
227	A0A179T3W6 PitR Metabacillus litoralis	0.8556376	0.31853315
228	A0A180F317 PitR Bacteroidales bacterium	0.82799846	0.33933783
229	A0A191HV17 PitR endosymbiont 'TC1'	0.8226943	0.32035235
230	A0A191TJ45 PitR Arachidicoccus sp.	0.84271586	0.33654
231	A0A191UDN4 PitR Polynucleobacter wuianus	0.82063675	0.32609951
232	A0A1A5HW98 PitR Rhizobium loti	0.8223835	0.33492672
233	A0A1A9NHU8 PitR Methylobacillus sp.	0.83803266	0.3315774
234	A0A1B1YCK5 PitR Thermoclostridium stercorarium	0.8296281	0.31895077
235	A0A1B3WCP1 PitR Dialister pneumosintes	0.8533137	0.3294637
236	A0A1B4XD02 PitR Sulfuricaulis limicola	0.8350522	0.33409032
237	A0A1B6BA01 PitR Fusibacter sp.	0.7264293	0.23748097
238	A0A1B6Z785 PitR Sphingomonadales bacterium	0.8431114	0.35843545
239	A0A1B7X8S9 PitR Halodesulfovibrio spirochaetisodalis	0.6886659	0.22803286
240	A0A1C2Y1X1 PitR Dehalobacter sp.	0.8204578	0.3272045
241	A0A1C4T2J0 PitR Streptomyces sp.	0.83470356	0.33024988
242	A0A1C6VXB3 PitR Micromonospora peucetia	0.8653791	0.3538527
243	A0A1D2LPW5 PitR Brochothrix thermosphacta	0.8476838	0.31751478
244	A0A1D2SI34 PitR Lautropia sp.	0.82318026	0.3237712
245	A0A1D3TNB2 PitR Anaerobium acetethylicum	0.84155095	0.3078632
246	A0A1D8AWH5 PitR Lacunisphaera limnophila	0.8621379	0.3324051
247	A0A1D8JD15 PitR Sporosarcina ureilytica	0.8407975	0.31574312
248	A0A1D9MIU9 PitR Boudabousia tangfeifanii	0.8300113	0.32692385
249	A0A1E2V5S5 PitR Terasakiispira papahanaumokuakeensis	0.7221895	0.2523014
250	A0A1E3AVA4 PitR Eisenbergiella tayi	0.8231893	0.31852785
251	A0A1E4B716 PitR Gemmatimonadetes bacterium	0.8269571	0.3288061
252	A0A1E4K5J7 PitR Lysobacteraceae bacterium	0.86171573	0.31648123
253	A0A1E5XUN9 PitR Devosia insulae	0.81388336	0.33137554
254	A0A1E7DLN2 PitR Domibacillus iocasae	0.83960515	0.3192504
255	A0A1E7ICE1 PitR Desulfuromonadales bacterium	0.7324948	0.24971342
256	A0A1F1XNG1 PitR Brachybacterium sp.	0.87651676	0.33853343
257	A0A1F2QBW3 PitR Acidobacteria bacterium	0.8347629	0.32588944
258	A0A1F2WT32 PitR Actinobacteria bacterium	0.7712425	0.2912358
259	A0A1F2XU73 PitR Alphaproteobacteria bacterium	0.8176875	0.33064404
260	A0A1F2Y2B0 PitR Alicyclobacillus sp.	0.82822406	0.34577912
261	A0A1F3BC06 PitR archaeon RBG_16_50_20	0.6615496	0.26108027
262	A0A1F3BMC9 PitR Armatimonadetes bacterium	0.83533883	0.32822132
263	A0A1F3SFB5 PitR Bdellovibrionales bacterium	0.8270014	0.3267107
264	A0A1F4KIF4 PitR Burkholderiales bacterium	0.83089674	0.33009472
265	A0A1F4N272 PitR Caldithrix sp.	0.72167814	0.23535015
266	A0A1F6CW93 PitR Handelsmanbacteria sp.	0.8308122	0.3264954
267	A0A1F8LR33 PitR Chloroflexi bacterium	0.8294326	0.3285479
268	A0A1F9ADR3 PitR Deltaproteobacteria bacterium	0.83900976	0.329602
269	A0A1F9N740 PitR Desulfobacula sp.	0.84003896	0.3312847
270	A0A1F9Q0Q3 PitR Desulfovibrionales bacterium	0.8463387	0.33398348
271	A0A1F9QY31 PitR Elusimicrobia bacterium	0.8368996	0.32445455
272	A0A1F9YS43 PitR Euryarchaeota archaeon	0.8325466	0.333807
273	A0A1G0B3F6 PitR Flavobacteria bacterium	0.84768146	0.33073542
274	A0A1G0LBD6 PitR Geobacteraceae bacterium	0.8322882	0.32580337
275	A0A1G0NPX6 PitR Ignavibacteria bacterium	0.8408063	0.33295763
276	A0A1G0WZA6 PitR Legionellales bacterium	0.7194719	0.2438418
277	A0A1G0XEX5 PitR Lentisphaerae bacterium	0.75819695	0.25232112
278	A0A1G1GQ11 PitR Nitrospirae bacterium	0.83757824	0.32841727
279	A0A1G3H1N9 PitR Rhodocyclales bacterium	0.8285872	0.32904008
280	A0A1G3IU99 PitR Rhodospirillales bacterium	0.8516461	0.35427916
281	A0A1G3VFH3 PitR Syntrophobacterales bacterium	0.84006387	0.3481392
282	A0A1G3WK88 PitR Tenericutes bacterium	0.82984865	0.31151354
283	A0A1G3ZKK1 PitR Verrucomicrobia bacterium	0.70870906	0.24498487
284	A0A1G4G6J4 PitR Petrimonas mucosa	0.8231599	0.33487025
285	A0A1G5QS09 PitR Thiohalomonas denitrificans	0.7147489	0.24774809
286	A0A1G5S5Q4 PitR Acidaminobacter hydrogenoformans	0.8354332	0.31433427
287	A0A1G5VPA4 PitR Allisonella histaminiformans	0.85523343	0.3187299
288	A0A1G6D3B3 PitR Desulfonatronum thiosulfatophilum	0.69606465	0.22386275
289	A0A1G6HJ72 PitR Sanguibacter gelidistatuariae	0.83327067	0.32925376
290	A0A1G6HRN5 PitR Parafannyhessea umbonata	0.842288	0.32244235
291	A0A1G6KQ22 PitR Geotoga petraea	0.72266185	0.24869545
292	A0A1G6NYS3 PitR Williamwhitmania taraxaci	0.83777213	0.3378393
293	A0A1G6WYW4 PitR Peptococcus niger	0.8316978	0.31333193
294	A0A1G6Y283 PitR Glycomyces harbinensis	0.8486729	0.33201763
295	A0A1G7AEW2 PitR Actinobaculum suis	0.8344235	0.33069703
296	A0A1G7AYH8 PitR Riemerella columbipharyngis	0.8335935	0.3342581
297	A0A1G7D7U6 PitR Bhargavaea beijingensis	0.83942705	0.315889
298	A0A1G7ISF4 PitR Terriglobus roseus	0.8619895	0.33783183
299	A0A1G7LR92 PitR Sporolituus thermophilus	0.81853294	0.3239447
300	A0A1G8BV72 PitR Propionivibrio dicarboxylicus	0.8265635	0.3239676
301	A0A1G9LIT9 PitR Halarsenatibacter silvermanii	0.6949314	0.22841854
302	A0A1G9RMR2 PitR Dendrosporobacter quercicolus	0.8268013	0.3262386
303	A0A1G9UKF7 PitR Actinomyces ruminicola	0.8744848	0.3740635
304	A0A1G9W1T2 PitR Haloarchaeobius iranensis	0.8164578	0.31367943
305	A0A1G9YZR7 PitR Acetanaerobacterium elongatum	0.8236827	0.31412485
306	A0A1H0J7X2 PitR Desulforhopalus singaporensis	0.72971886	0.2614316
307	A0A1H1LXQ8 PitR Actinopolymorpha singaporensis	0.84402925	0.33391705
308	A0A1H3ICK6 PitR Thermoactinomyces sp.	0.8448644	0.32514557
309	A0A1H3K6G3 PitR Tindallia californiensis	0.7321339	0.23397996
310	A0A1H3X3H6 PitR Bowdeniella nasicola	0.83607197	0.32857364
311	A0A1H4CLW3 PitR Desulfuromusa kysingii	0.7414442	0.24230495
312	A0A1H4VIJ2 PitR Beijerinckia sp.	0.8150393	0.33228806
313	A0A1H5B8X3 PitR Ruania alba	0.8414202	0.33623636
314	A0A1H6FXZ0 PitR Thermoleophilum album	0.8500273	0.32486987
315	A0A1H6INZ1 PitR Halopenitus malekzadehii	0.81131655	0.32746252
316	A0A1H6XEU1 PitR Myroides marinus	0.83805394	0.3343979
317	A0A1H7MFG9 PitR Ectothiorhodospira marina	0.7125454	0.24566498
318	A0A1H8B350 PitR Hydrogenoanaerobacterium saccharovorans	0.82286614	0.3158898
319	A0A1H8BI65 PitR Lihuaxuella thermophila	0.84055966	0.3160665
320	A0A1H8EF55 PitR Megamonas sp.	0.82463557	0.33019465
321	A0A1H8FS33 PitR Brachymonas denitrificans	0.8248056	0.32363942
322	A0A1H8H6V1 PitR Halorientalis persicus	0.83533514	0.33463562
323	A0A1H9D6K9 PitR Microlunatus flavus	0.8435212	0.33536196
324	A0A1H9NJ49 PitR Faunimonas pinastri	0.81746554	0.33235762
325	A0A1I0LPZ7 PitR Nonomuraea wenchangensis	0.8578727	0.36125615
326	A0A1I0PQ42 PitR Ruminococcaceae bacterium	0.89183456	0.31139895
327	A0A1I1IRD3 PitR Marinospirillum celere	0.7241884	0.24817994
328	A0A1I1KZX0 PitR Kushneria avicenniae	0.72409916	0.24895555
329	A0A1I1QRP7 PitR Chitinophaga sp.	0.8399183	0.33546302
330	A0A1I1YVC5 PitR Nannocystis exedens	0.8318363	0.34150663
331	A0A1I2LYR2 PitR Neptunomonas qingdaonensis	0.7110402	0.24541052
332	A0A1I2PEZ9 PitR Planifilum fulgidum	0.83575624	0.32070172
333	A0A1I2TI64 PitR Desulfotruncus arcticus	0.8353138	0.3195847
334	A0A1I4QQF1 PitR Pleomorphomonas diazotrophica	0.819857	0.33653924
335	A0A1I4QXC2 PitR Thermodesulforhabdus norvegica	0.69723076	0.22916369
336	A0A1I4VJB9 PitR Algoriella xinjiangensis	0.82181966	0.33144975
337	A0A1I5D7I0 PitR Anaerocolumna aminovalerica	0.8252228	0.3180443
338	A0A1I5TVZ6 PitR Geodermatophilus dictyosporus	0.83918095	0.32897535
339	A0A1I5WSV7 PitR Caldicoprobacter faecalis	0.8227805	0.31144318
340	A0A1I5YJB8 PitR Parafilimonas terrae	0.8418652	0.33422583
341	A0A1I6RJG5 PitR Lutibacter maritimus	0.7282827	0.23495845
342	A0A1I7HWX5 PitR Eubacterium pyruvativorans	0.8522507	0.31157997
343	A0A1I7ND89 PitR Thermoflavifilum thermophilum	0.8382284	0.3312017
344	A0A1J0KU83 PitR Francisella frigiditurris	0.9034926	0.34368685
345	A0A1J4YGH5 PitR Zetaproteobacteria bacterium	0.699908	0.24142115
346	A0A1J5RIC8 PitR mine drainage	0.8274672	0.32966504
347	A0A1L6MXK4 PitR Pajaroellobacter abortibovis	0.8439012	0.33959284
348	A0A1L6TEI7 PitR Piscirickettsia salmonis	0.70375556	0.24377336
349	A0A1L7AFX4 PitR Roseomonas gilardii	0.83030075	0.33998924
350	A0A1L7BDD3 PitR Thermosipho sp.	0.7106513	0.25090152
351	A0A1L8CKV5 PitR Mariprofundus micogutta	0.7199351	0.24651979
352	A0A1L8CTL4 PitR Carboxydothermus pertinax	0.8303173	0.33605206
353	A0A1L9AX40 PitR Cystobacter ferrugineus	0.842872	0.3279022
